City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,selfoss,63.9331,-20.9971,-3.31,71,100,18.89,IS,1706897034
336,gutao,37.2025,112.1781,-2.92,91,100,2.64,CN,1706897035
337,aldan,58.6031,125.3894,-27.42,100,97,1.44,RU,1706897035
338,matoury,4.8483,-52.3317,30.98,58,75,3.6,GF,1706897035
339,ponta delgada,37.7333,-25.6667,18.44,77,20,6.69,PT,1706896821
340,jawad,24.6,74.85,17.23,48,24,2.21,IN,1706897036
341,tomar,39.602,-8.4092,19.34,100,12,0.32,PT,1706896994
342,vorgashor,67.5833,63.95,-17.11,93,100,2.96,RU,1706897036
343,milagros,12.2181,123.5095,24.42,89,5,4.17,PH,1706897037
344,harnai,30.1005,67.9374,11.88,48,100,0.87,PK,1706897037
345,zhezqazghan,47.7833,67.7667,-11.68,92,100,9.0,KZ,1706897037
346,saint john,45.2727,-66.0677,2.0,93,100,2.57,CA,1706896747
347,coquimbo,-29.9533,-71.3436,18.85,82,100,5.14,CL,1706897037
348,happy valley-goose bay,53.3168,-60.3315,-14.83,47,20,5.14,CA,1706897038
349,vadso,70.0744,29.7487,-5.91,73,0,5.66,NO,1706897038
350,netrakona,24.8833,90.7167,18.72,41,25,2.34,BD,1706897038
351,san juan pueblo,15.5833,-87.2333,26.42,60,12,2.18,HN,1706897038
352,arkhangel'sk,64.5401,40.5433,-4.94,100,75,2.0,RU,1706897039
353,rio grande,-32.035,-52.0986,30.06,60,0,7.08,BR,1706897039
354,midvagur,62.0511,-7.1939,6.46,75,100,14.92,FO,1706897039
355,pisco,-13.7,-76.2167,26.68,70,70,4.57,PE,1706897039
356,fortuna,40.5982,-124.1573,9.43,92,75,5.14,US,1706897039
357,northam,51.0333,-4.2167,11.33,98,100,7.26,GB,1706897040
358,colonia,50.9333,6.95,9.42,80,75,7.2,DE,1706896975
359,broome,42.2506,-75.833,4.28,85,100,5.14,US,1706897041
